strip,number,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
1,1-4,protein,5116,1707,3346,2968,2584,8792,97.046,86.083,74.945,23.008,17.05,12.059,31.3,0.087,0.2371,97
1,1-4,glucose,8784,1099,1730,1917,1865,5432,81.213,89.992,87.551,14.74,19.052,17.786,165,0.4583,0.0899,89
1,1-4,ketone,5909,1631,3045,2850,2566,8339,93.114,87.151,78.466,20.748,17.584,13.525,36,0.1,0.1613,93
2,2-4,white,5782,3734,7186,6600,5943,19632,93.339,85.727,77.194,20.874,16.875,12.984,30,0.0833,0.172,93
2,2-4,blood,3914,2575,2947,3147,1960,8100,92.776,99.072,61.704,20.56,24.228,7.417,71.05,0.1974,0.3838,99
2,2-4,pH,3902,2503,5413,4332,3520,13078,105.545,84.467,68.634,28.381,16.261,9.678,25.95,0.0721,0.3524,105
2,2-4,protein,5052,3437,6408,5796,4960,16934,96.495,87.279,74.69,22.683,17.649,11.956,35.45,0.0985,0.2292,96
2,2-4,glucose,4567,2114,3332,3177,2484,8863,95.866,91.406,71.468,22.315,19.81,10.708,50,0.1389,0.2526,95
2,2-4,ketone,5426,3332,6646,5926,5278,17503,96.825,86.335,76.895,22.878,17.176,12.858,30,0.0833,0.2083,96
3,3-4,white,5850,4076,7803,7202,6500,21325,93.307,86.12,77.726,20.856,17.069,13.208,33.75,0.0938,0.172,93
3,3-4,blood,5040,2654,3426,3716,2867,9960,87.714,95.139,73.402,17.869,21.894,11.447,81.82,0.2273,0.2316,95
3,3-4,pH,5302,3268,5876,5464,4711,15838,94.607,87.973,75.85,21.59,18.002,12.426,37.89,0.1053,0.2021,94
3,3-4,protein,3673,2213,3360,3057,2078,8452,101.372,92.231,62.694,25.659,20.26,7.718,46.15,0.1282,0.3861,101
3,3-4,glucose,5043,2965,5254,4862,4102,13971,95.896,88.742,74.87,22.333,18.397,12.028,40,0.1111,0.2211,95
3,3-4,ketone,4077,1015,3638,2497,2384,8390,110.571,75.892,72.458,31.882,12.443,11.083,4.74,0.0132,0.3455,110
4,4-4,white,5775,3872,7431,6832,6146,20275,93.46,85.927,77.299,20.941,16.973,13.028,30,0.0833,0.172,93
4,4-4,blood,5887,1539,1441,1977,1521,4951,74.218,101.825,78.339,11.768,25.946,13.47,128.89,0.358,0.2673,101
4,4-4,pH,5789,2588,4372,4274,3741,12169,91.615,89.561,78.392,19.923,18.825,13.493,50.77,0.141,0.1429,91
4,4-4,protein,4150,1863,2380,2448,1677,6426,94.444,97.143,66.548,21.497,23.066,8.959,65.81,0.1828,0.3196,97
4,4-4,glucose,3848,1780,3422,2856,2208,8311,104.995,87.628,67.746,28.013,17.826,9.368,32.43,0.0901,0.3558,104
4,4-4,ketone,5400,2981,6283,5464,4922,16269,98.48,85.643,77.147,23.867,16.833,12.964,22.86,0.0635,0.2143,98
5,5-4,white,5569,3492,6807,6166,5506,18463,94.014,85.161,76.046,21.253,16.598,12.506,30,0.0833,0.1915,94
5,5-4,blood,4004,3540,6246,5459,4165,15732,101.241,88.485,67.51,25.576,18.265,9.287,37.06,0.1029,0.3366,101
5,5-4,pH,5568,3538,6496,6048,5327,17633,93.942,87.463,77.037,21.212,17.742,12.918,37.5,0.1042,0.172,93
5,5-4,protein,5449,2132,3048,3197,2629,8715,89.184,93.544,76.924,18.628,20.988,12.871,74.12,0.2059,0.1828,93
5,5-4,glucose,5197,2984,5959,5261,4625,15531,97.839,86.379,75.937,23.481,17.197,12.462,30,0.0833,0.2268,97
5,5-4,ketone,3297,466,2351,1448,1442,5056,118.573,73.03,72.727,37.967,11.303,11.186,1.3,0.0036,0.3898,118
6,6-4,white,5048,2551,5033,4439,3854,13285,96.606,85.205,73.976,22.749,16.619,11.673,31.3,0.087,0.2396,96
6,6-4,blood,4816,3917,6908,6335,5245,18309,96.212,88.231,73.05,22.517,18.134,11.311,39.13,0.1087,0.2396,96
6,6-4,protein,5916,2886,4793,4749,4171,13461,90.797,89.963,79.014,19.481,19.037,13.762,54.55,0.1515,0.1222,90
6,6-4,glucose,2184,529,1759,1069,802,3511,127.754,77.64,58.248,45.749,13.172,6.422,16.52,0.0459,0.5433,127
1,1-5,white,6262,1323,2429,2320,2117,6835,90.621,86.554,78.981,19.387,17.285,13.748,40,0.1111,0.1333,90
1,1-5,blood,2987,1088,1819,1481,900,4189,110.729,90.154,54.786,31.996,19.138,5.51,38.57,0.1071,0.5091,110
1,1-5,pH,4167,907,2196,1712,1478,5310,105.458,82.215,70.977,28.323,15.199,10.525,20.57,0.0571,0.3333,105
1,1-5,protein,3054,985,1606,1331,812,3716,110.207,91.336,55.721,31.62,19.772,5.748,39.27,0.1091,0.5,110
1,1-5,glucose,9715,853,1298,1496,1484,4223,78.378,90.334,89.609,13.487,19.234,18.85,175,0.4861,0.1333,90
